Point_Index,X_Coordinate,Y_Coordinate,U_Numerical,U_Analytical,Error
195, 8.20000000E-01, 6.00000000E-02, 2.94189358E-04, 5.08652248E-03, 4.79233312E-03
196, 8.40000000E-01, 6.00000000E-02, 2.72779988E-04, 4.57321454E-03, 4.30043456E-03
197, 8.60000000E-01, 6.00000000E-02, 2.70725933E-04, 4.04185822E-03, 3.77113229E-03
198, 8.80000000E-01, 6.00000000E-02, 2.55419376E-04, 3.49455053E-03, 3.23913116E-03
199, 9.00000000E-01, 6.00000000E-02, 2.29698130E-04, 2.93345145E-03, 2.70375332E-03
200, 9.20000000E-01, 6.00000000E-02, 1.95452105E-04, 2.36077537E-03, 2.16532327E-03
201, 9.40000000E-01, 6.00000000E-02, 1.55018997E-04, 1.77878239E-03, 1.62376340E-03
202, 9.60000000E-01, 6.00000000E-02, 1.08050857E-04, 1.18976937E-03, 1.08171852E-03
203, 9.80000000E-01, 6.00000000E-02, 5.56070548E-05, 5.96060876E-04, 5.40453821E-04
204, 1.00000000E+00, 6.00000000E-02, 0.00000000E+00, 1.16253863E-18, 1.16253863E-18
205, 0.00000000E+00, 8.00000000E-02, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
206, 2.00000000E-02, 8.00000000E-02, 1.03812787E-04, 7.91083745E-04, 6.87270958E-04
207, 4.00000000E-02, 8.00000000E-02, 2.02913431E-04, 1.57904544E-03, 1.37613201E-03
208, 6.00000000E-02, 8.00000000E-02, 2.94215947E-04, 2.36077537E-03, 2.06655942E-03
209, 8.00000000E-02, 8.00000000E-02, 3.76451744E-04, 3.13318840E-03, 2.75673665E-03
210, 1.00000000E-01, 8.00000000E-02, 4.48980274E-04, 3.89323616E-03, 3.44425589E-03
211, 1.20000000E-01, 8.00000000E-02, 5.11362603E-04, 4.63791910E-03, 4.12655649E-03
212, 1.40000000E-01, 8.00000000E-02, 5.66667630E-04, 5.36429829E-03, 4.79763066E-03
213, 1.60000000E-01, 8.00000000E-02, 6.49536038E-04, 6.06950704E-03, 5.41997100E-03
214, 1.80000000E-01, 8.00000000E-02, 7.30315943E-04, 6.75076223E-03, 6.02044628E-03
215, 2.00000000E-01, 8.00000000E-02, 8.10202763E-04, 7.40537524E-03, 6.59517247E-03
216, 2.20000000E-01, 8.00000000E-02, 8.96521963E-04, 8.03076261E-03, 7.13424065E-03
217, 2.40000000E-01, 8.00000000E-02, 9.97978443E-04, 8.62445624E-03, 7.62647780E-03
218, 2.60000000E-01, 8.00000000E-02, 1.11714946E-03, 9.18411308E-03, 8.06696361E-03
219, 2.80000000E-01, 8.00000000E-02, 1.25044229E-03, 9.70752442E-03, 8.45708212E-03
220, 3.00000000E-01, 8.00000000E-02, 1.34756473E-03, 1.01926246E-02, 8.84505987E-03
221, 3.20000000E-01, 8.00000000E-02, 1.38815808E-03, 1.06374991E-02, 9.24934105E-03
222, 3.40000000E-01, 8.00000000E-02, 1.42668129E-03, 1.10403923E-02, 9.61371103E-03
223, 3.60000000E-01, 8.00000000E-02, 1.44004455E-03, 1.13997141E-02, 9.95966958E-03
224, 3.80000000E-01, 8.00000000E-02, 1.43859940E-03, 1.17140465E-02, 1.02754471E-02
225, 4.00000000E-01, 8.00000000E-02, 1.41081625E-03, 1.19821488E-02, 1.05713326E-02
226, 4.20000000E-01, 8.00000000E-02, 1.35657818E-03, 1.22029631E-02, 1.08463849E-02
227, 4.40000000E-01, 8.00000000E-02, 1.29252195E-03, 1.23756179E-02, 1.10830959E-02
228, 4.60000000E-01, 8.00000000E-02, 1.22055129E-03, 1.24994317E-02, 1.12788805E-02
229, 4.80000000E-01, 8.00000000E-02, 1.23915107E-03, 1.25739161E-02, 1.13347650E-02
230, 5.00000000E-01, 8.00000000E-02, 1.25326359E-03, 1.25987769E-02, 1.13455133E-02
231, 5.20000000E-01, 8.00000000E-02, 1.25261532E-03, 1.25739161E-02, 1.13213007E-02
232, 5.40000000E-01, 8.00000000E-02, 1.24528144E-03, 1.24994317E-02, 1.12541503E-02
233, 5.60000000E-01, 8.00000000E-02, 1.24238078E-03, 1.23756179E-02, 1.11332371E-02
234, 5.80000000E-01, 8.00000000E-02, 1.26516442E-03, 1.22029631E-02, 1.09377987E-02
235, 6.00000000E-01, 8.00000000E-02, 1.34284516E-03, 1.19821488E-02, 1.06393037E-02
236, 6.20000000E-01, 8.00000000E-02, 1.49196615E-03, 1.17140465E-02, 1.02220803E-02
237, 6.40000000E-01, 8.00000000E-02, 1.57552120E-03, 1.13997141E-02, 9.82419294E-03
238, 6.60000000E-01, 8.00000000E-02, 1.55991682E-03, 1.10403923E-02, 9.48047551E-03
239, 6.80000000E-01, 8.00000000E-02, 1.45376290E-03, 1.06374991E-02, 9.18373623E-03
240, 7.00000000E-01, 8.00000000E-02, 1.32162573E-03, 1.01926246E-02, 8.87099886E-03
241, 7.20000000E-01, 8.00000000E-02, 1.09467059E-03, 9.70752442E-03, 8.61285382E-03
242, 7.40000000E-01, 8.00000000E-02, 8.80741584E-04, 9.18411308E-03, 8.30337149E-03
243, 7.60000000E-01, 8.00000000E-02, 6.93606405E-04, 8.62445624E-03, 7.93084983E-03
244, 7.80000000E-01, 8.00000000E-02, 5.84405189E-04, 8.03076261E-03, 7.44635742E-03
245, 8.00000000E-01, 8.00000000E-02, 5.07378687E-04, 7.40537524E-03, 6.89799655E-03
246, 8.20000000E-01, 8.00000000E-02, 4.50208393E-04, 6.75076223E-03, 6.30055383E-03
247, 8.40000000E-01, 8.00000000E-02, 4.05416603E-04, 6.06950704E-03, 5.66409044E-03
248, 8.60000000E-01, 8.00000000E-02, 3.69603281E-04, 5.36429829E-03, 4.99469501E-03
249, 8.80000000E-01, 8.00000000E-02, 3.33390866E-04, 4.63791910E-03, 4.30452823E-03
250, 9.00000000E-01, 8.00000000E-02, 2.92050687E-04, 3.89323616E-03, 3.60118547E-03
251, 9.20000000E-01, 8.00000000E-02, 2.45108607E-04, 3.13318840E-03, 2.88807979E-03
252, 9.40000000E-01, 8.00000000E-02, 1.96129588E-04, 2.36077537E-03, 2.16464578E-03
253, 9.60000000E-01, 8.00000000E-02, 1.38099033E-04, 1.57904544E-03, 1.44094641E-03
254, 9.80000000E-01, 8.00000000E-02, 7.16374113E-05, 7.91083745E-04, 7.19446333E-04
255, 1.00000000E+00, 8.00000000E-02, 0.00000000E+00, 1.54290518E-18, 1.54290518E-18
256, 0.00000000E+00, 1.00000000E-01, 0.00000000E+00, 0.00000000E+00, 0.00000000E+00
257, 2.00000000E-02, 1.00000000E-01, 1.26137690E-04, 9.82984567E-04, 8.56846877E-04
258, 4.00000000E-02, 1.00000000E-01, 2.44257643E-04, 1.96208974E-03, 1.71783210E-03
259, 6.00000000E-02, 1.00000000E-01, 3.50463462E-04, 2.93345145E-03, 2.58298799E-03
260, 8.00000000E-02, 1.00000000E-01, 4.45443197E-04, 3.89323616E-03, 3.44779296E-03
261, 1.00000000E-01, 1.00000000E-01, 5.31215972E-04, 4.83765605E-03, 4.30644007E-03
262, 1.20000000E-01, 1.00000000E-01, 6.10838303E-04, 5.76298392E-03, 5.15214561E-03
263, 1.40000000E-01, 1.00000000E-01, 6.86723592E-04, 6.66556792E-03, 5.97884433E-03
264, 1.60000000E-01, 1.00000000E-01, 7.57845228E-04, 7.54184597E-03, 6.78400074E-03
265, 1.80000000E-01, 1.00000000E-01, 8.26216556E-04, 8.38835980E-03, 7.56214325E-03
266, 2.00000000E-01, 1.00000000E-01, 8.96808259E-04, 9.20176861E-03, 8.30496035E-03
